code,csname,extname,cname,index_code,index_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
510100,易方达上证50ETF,上证50ETF易方达,易方达上证50交易型开放式指数证券投资基金,000016.SH,上证50指数,上证50,中证指数有限公司,20040102,20031231,1000.0,半年,2019-09-06,2019-10-09,L,SH,易方达基金,招商银行股份有限公司,0.15,纯境内
588070,万家上证科创板成长ETF,科创板成长ETF,万家上证科创板成长交易型开放式指数证券投资基金,000690.SH,上证科创板成长指数,科创成长,中证指数有限公司,20221104,20191231,1000.0,三个月,2024-11-06,2024-11-14,L,SH,万家基金,国泰海通证券股份有限公司,0.5,纯境内
159838,博时医药50ETF,医药50ETF,博时中证医药50交易型开放式指数证券投资基金,931140.CSI,中证医药50指数,医药50,中证指数有限公司,20190320,20041231,1000.0,半年,2021-07-22,2021-07-30,L,SZ,博时基金,国泰海通证券股份有限公司,0.5,纯境内
510630,华夏消费ETF,消费30ETF,上证主要消费交易型开放式指数发起式证券投资基金,000036.SH,上证主要消费行业指数,上证消费,中证指数有限公司,20090109,20031231,1000.0,半年,2013-03-28,2013-05-08,L,SH,华夏基金,中国建设银行股份有限公司,0.5,纯境内
510030,上证180价值ETF,价值ETF,上证180价值交易型开放式指数证券投资基金,000029.SH,上证180价值指数,180价值,中证指数有限公司,20090109,20020628,1000.0,半年,2010-04-23,2010-05-28,L,SH,华宝基金,中国工商银行股份有限公司,0.5,纯境内
159260,博时证券公司ETF,证券指数ETF,博时中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,证券公司,中证指数有限公司,20130715,20070629,1000.0,半年,2025-10-24,2025-11-04,L,SZ,博时基金,中国银行股份有限公司,0.5,纯境内
159303,大成恒生医疗保健ETF(QDII),恒生医疗ETF基金,大成恒生医疗保健交易型开放式指数证券投资基金(QDII),HSHCI.HI,恒生医疗保健指数,恒生医疗保健指数,恒生指数有限公司,20150817,20100305,3000.0,三个月,2024-06-18,2024-06-27,L,SZ,大成基金,兴业银行股份有限公司,0.5,QDII
588660,兴银中证科创创业50ETF,科创创业50ETF基金,兴银中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,科创创业50,中证指数有限公司,20210601,20191231,1000.0,三个月,2025-02-28,2025-03-17,L,SH,兴银基金,兴业银行股份有限公司,0.15,纯境内
516560,华宝养老ETF,养老ETF,华宝中证养老产业交易型开放式指数证券投资基金,399812.SZ,中证养老产业指数,养老产业,中证指数有限公司,20140606,20041231,1000.0,半年,2021-09-08,2021-09-16,L,SH,华宝基金,中国建设银行股份有限公司,0.5,纯境内
159669,国泰国证绿色电力ETF,绿电ETF,国泰国证绿色电力交易型开放式指数证券投资基金,399438.SZ,国证绿色电力指数,绿色电力,深圳证券信息有限公司,20141230,20021231,1000.0,半年,2022-12-29,2023-01-11,L,SZ,国泰基金,中国邮政储蓄银行股份有限公司,0.5,纯境内
159659,招商纳斯达克100ETF(QDII),纳斯达克100ETF,招商纳斯达克100交易型开放式指数证券投资基金(QDII),NDX.NASDAQ,纳斯达克100指数,纳斯达克100指数,美国纳斯达克证券交易所,19850201,19850131,125.0,,2023-04-12,2023-04-25,L,SZ,招商基金,中国银行股份有限公司,0.5,QDII
589720,国泰上证科创板创新药ETF,科创创新药ETF国泰,国泰上证科创板创新药交易型开放式指数证券投资基金,950161.CSI,上证科创板创新药指数,科创新药,中证指数有限公司,20240823,20221230,1000.0,三个月,2025-07-23,2025-08-01,L,SH,国泰基金,国泰海通证券股份有限公司,0.5,纯境内
510760,国泰上证综合ETF,上证综指ETF,国泰上证综合交易型开放式指数证券投资基金,000001.SH,上证综合指数,上证指数,中证指数有限公司,19910715,19901219,100.0,自动调整,2020-08-21,2020-09-09,L,SH,国泰基金,上海银行股份有限公司,0.15,纯境内
159640,碳中和龙头ETF,碳中和龙头ETF,工银瑞信中证上海环交所碳中和交易型开放式指数证券投资基金,931755.CSI,中证上海环交所碳中和指数,SEEE碳中和,中证指数有限公司,20211021,20170630,1000.0,半年,2022-07-13,2022-07-21,L,SZ,工银瑞信基金,国信证券股份有限公司,0.45,纯境内
516710,华夏中证新材料主题ETF,新材料50ETF,华夏中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,新材料,中证指数有限公司,20150213,20081231,1000.0,半年,2021-08-04,2021-08-17,L,SH,华夏基金,中国建设银行股份有限公司,0.5,纯境内
